Id,Label,timeset,modularity_class,indegree,outdegree,degree
foxjoan,,,33,3,0,3
dbgz,,,11,2,0,2
55694589,,,33,1,0,1
numberw,,,33,3,0,3
nirvana7,,,11,8,0,8
xxuxx,,,33,1,0,1
sandysea,,,33,1,0,1
x7788,,,33,1,0,1
61634172,,,33,1,0,1
KAY-FONG,,,33,1,0,1
65079703,,,33,1,0,1
river2joy,,,33,6,0,6
fanfanlove,,,33,1,0,1
sky426,,,33,2,0,2
wang2mu,,,33,2,0,2
nimanggi,,,33,1,0,1
57698242,,,33,1,0,1
1405807,,,33,3,0,3
RyeVanish,,,33,1,0,1
LevineZhi,,,33,1,0,1
lff121,,,33,4,0,4
omelissokomos,,,33,1,0,1
Diandianlan,,,33,1,0,1
60435290,,,33,1,0,1
IsmuImzz,,,11,6,0,6
pandabao,,,33,1,0,1
40430939,,,33,1,0,1
donbou11,,,11,3,0,3
54563897,,,33,1,0,1
persuader,,,33,1,0,1
bearis,,,33,5,0,5
ATUPHOTO,,,33,1,0,1
plumestreet,,,11,8,0,8
erikaonly,,,33,1,0,1
fresh.daily,,,33,1,0,1
wunching,,,33,1,0,1
jenny107,,,11,5,0,5
kilo.mo,,,33,2,0,2
sophiediao,,,33,1,0,1
akhuang,,,33,1,0,1
fengyunge,,,11,2,0,2
51958071,,,33,1,0,1
lionbb,,,33,2,0,2
lijialan,,,33,1,0,1
Betty-Su,,,33,1,0,1
lazyao,,,33,2,0,2
vivianwxx,,,33,1,0,1
60212341,,,11,3,0,3
dear-m,,,33,1,0,1
62404009,,,33,1,0,1
mintsky,,,33,1,0,1
kido_jpop,,,33,1,0,1
51451813,,,33,1,0,1
dieinyourself,,,33,1,0,1
57828907,,,33,1,0,1
just-NAn,,,33,2,0,2
ifcosmopolitan,,,33,2,0,2
2176462,,,33,1,0,1
Jin.Z,,,33,1,0,1
43476413,,,33,1,0,1
backdrifts,,,33,1,0,1
nimo266,,,33,1,0,1
suicide,,,33,1,0,1
ksitigarbha,,,33,3,0,3
augusthsu,,,33,1,0,1
Jolinking,,,33,1,0,1
demoore,,,33,1,0,1
vnershaw,,,33,1,0,1
tongsansan,,,33,1,0,1
mongia90s,,,33,1,0,1
Fucky_Bob,,,33,1,0,1
meimaozi,,,33,1,0,1
3580554,,,33,1,0,1
viroca,,,33,1,0,1
moonssee,,,33,1,0,1
58773608,,,33,1,0,1
58765027,,,33,1,0,1
wislito,,,33,1,0,1
kuian,,,33,4,0,4
billystone,,,33,2,0,2
siyueyuhouzi,,,33,1,0,1
7112099,,,33,1,0,1
47046284,,,33,1,0,1
sakurazuka1965,,,33,1,0,1
BandOfOutsider,,,33,1,0,1
b.jok,,,33,1,0,1
momomorong,,,33,1,0,1
yuangungun,,,33,1,0,1
41282438,,,33,1,0,1
gerturde,,,33,1,0,1
cornflower,,,33,1,0,1
wohehouniao,,,33,1,0,1
felic,,,33,1,0,1
SBboy,,,33,1,0,1
wocuole,,,33,3,0,3
SwanX,,,33,1,0,1
chikenami,,,33,1,0,1
run11run,,,11,4,0,4
47967306,,,33,1,0,1
Chanc,,,33,2,0,2
Conniejin,,,33,1,0,1
s-kimiko,,,33,1,0,1
wangsheyun,,,33,1,0,1
yangchengjie,,,11,5,0,5
summersun1991,,,33,1,0,1
autism,,,33,1,0,1
heqi,,,33,1,0,1
bone07,,,33,1,0,1
nuanuanlovejane,,,33,2,0,2
alicekekezhang,,,33,1,0,1
yingalice,,,33,2,0,2
panda_wow,,,33,1,0,1
15920466,,,33,1,0,1
anxin20,,,33,1,0,1
eskimo1994,,,33,1,0,1
miss_blue,,,33,1,0,1
jovixu,,,33,1,0,1
35555659,,,33,1,0,1
fikirui,,,33,1,0,1
masteran,,,33,3,0,3
4071147,,,33,1,0,1
lanx-p,,,33,1,0,1
53202021,,,33,1,0,1
GuanRenWoYao,,,11,4,0,4
zayi,,,33,2,0,2
Eiunng,,,33,1,0,1
xiaxiaokuiguai,,,33,1,0,1
mandyjmx,,,33,1,0,1
blackdrean,,,33,1,0,1
nikuko,,,33,1,0,1
45333015,,,33,1,0,1
monkydpiggy,,,33,1,0,1
zhangsixi,,,33,1,0,1
46434868,,,33,1,0,1
SekaiDays,,,33,1,0,1
lius1230,,,11,2,0,2
ashleyma,,,33,1,0,1
52041165,,,33,1,0,1
daisyH,,,33,2,0,2
aaaaaaaaaaking,,,33,3,0,3
